ten,lop,toan,van,anh,ly,hoa
An,10A1,7.7,5.5,4.7,3.8,7.0
Bình,10A3,8.0,7.7,4.9,5.4,7.2
Châu,11A1,8.1,9.2,7.3,6.3,4.7
Dương,11A2,9.3,7.0,4.5,7.5,9.1
Em,11A2,5.8,6.6,8.8,6.6,5.1
Phú,10A1,9.8,6.4,4.4,8.5,7.6
Giang,10A1,4.2,6.9,8.1,6.2,9.0
Hà,11A1,9.7,7.4,8.8,4.4,6.9
Khánh,11A1,7.7,6.8,5.4,7.8,7.0
Lan,10A1,5.2,9.1,4.3,6.8,8.6
Minh,11A1,9.2,7.7,6.9,7.6,4.1
Nam,11A2,5.3,8.9,9.4,4.3,7.6
Oanh,10A2,6.3,6.6,6.5,4.0,5.7
Phương,10A3,5.0,6.8,10.0,8.4,5.6
Quang,10A2,6.0,6.9,4.7,8.3,8.4
Sơn,10A1,9.1,5.7,9.7,8.8,7.6
Tâm,11A1,7.3,8.7,9.1,4.6,4.1
Uyên,10A2,6.1,7.9,8.8,4.8,7.4
Việt,10A3,7.3,7.3,5.3,5.3,5.5
Xuân,11A2,4.8,8.4,4.6,6.1,4.6
Yến,10A1,8.6,8.1,5.1,7.3,6.8
Đạt,10A3,7.5,4.8,9.6,4.5,5.4
Hải,10A1,6.5,9.0,8.7,6.0,4.1
Linh,10A1,5.4,6.0,4.6,6.9,9.4
Ngọc,10A3,5.9,6.8,7.8,7.8,4.2
Tú,11A1,5.9,5.6,6.8,9.4,8.8
Vân,10A3,9.2,7.9,9.5,5.8,9.2
Long,10A3,4.3,8.1,9.3,5.2,5.8
Mai,10A1,5.8,6.6,7.5,3.6,9.3
Bảo,10A2,7.4,8.1,4.7,7.2,4.7
